City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Viedma,AR,-40.8135,-62.9967,77.0,49,0,14.88,clear sky
221,Barkhan,PK,29.8977,69.5256,53.91,36,0,4.18,clear sky
222,Quelimane,MZ,-17.8786,36.8883,93.2,55,75,11.5,broken clouds
223,Gemunden,DE,50.05,9.7,37.99,95,100,11.97,overcast clouds
224,Mount Gambier,AU,-37.8333,140.7667,55.4,100,90,10.36,overcast clouds
225,Pocoes,BR,-14.5297,-40.3653,85.91,46,98,7.7,overcast clouds
226,College,US,64.8569,-147.8028,-9.4,64,90,3.44,light snow
227,Altay,CN,47.8667,88.1167,24.21,88,100,1.66,overcast clouds
228,Saldanha,ZA,-33.0117,17.9442,77.0,61,20,24.16,few clouds
229,Vila Velha,BR,-20.3297,-40.2925,87.8,55,20,9.22,few clouds
230,Ostrovnoy,RU,68.0531,39.5131,15.39,95,100,12.64,light snow
231,Richards Bay,ZA,-28.783,32.0377,78.82,74,27,11.74,scattered clouds
232,Oxelosund,SE,58.6706,17.1015,17.6,86,0,6.91,clear sky
233,Acapulco,MX,16.8634,-99.8901,80.6,69,20,5.75,few clouds
234,Chiang Rai,TH,19.9167,99.9167,71.6,83,0,2.3,clear sky
235,Ingham,US,42.6,-84.3833,18.0,67,90,6.91,overcast clouds
236,Cardston,CA,49.2,-113.3019,-0.4,78,100,1.14,overcast clouds
237,Hamilton,US,39.1834,-84.5333,28.0,54,1,3.44,clear sky
238,Carballo,ES,43.213,-8.691,51.01,69,15,8.99,few clouds
239,Georgetown,MY,5.4112,100.3354,86.0,70,20,3.44,few clouds
240,Pundaguitan,PH,6.3711,126.1689,81.39,76,100,9.37,overcast clouds
241,Kakanj,BA,44.1272,18.1181,59.0,55,0,2.3,clear sky
242,Ixtapa,MX,20.7,-105.2,62.6,88,1,2.3,clear sky
243,Adrar,MR,20.5022,-10.0711,71.4,22,37,14.29,scattered clouds
244,Djibo,BF,14.1022,-1.6306,98.26,9,3,3.44,clear sky
245,Ulagan,RU,50.6321,87.9563,14.36,86,5,3.44,clear sky
246,Lata,PT,40.1629,-8.3327,57.99,76,89,4.0,overcast clouds
247,Nelson Bay,AU,-32.7167,152.15,71.01,100,75,4.61,broken clouds
248,Naze,JP,28.3667,129.4833,61.07,84,98,7.47,overcast clouds
249,Deep River,CA,46.1001,-77.4995,19.4,63,20,16.11,light snow
250,Belyy Yar,RU,53.6039,91.3903,12.2,85,100,4.47,mist
251,Bonfim,BR,3.0833,-59.95,90.12,44,89,10.96,overcast clouds
252,Chingola,ZM,-12.529,27.8838,73.51,89,47,2.57,light rain
253,Valdivia,CL,-39.8142,-73.2459,68.0,73,20,3.44,few clouds
254,Buraydah,SA,26.326,43.975,53.6,100,75,11.5,broken clouds
255,Saint-Philippe,RE,-21.3585,55.7679,84.2,70,75,6.91,light rain
256,Alexandria,EG,31.2156,29.9553,64.4,63,20,8.05,few clouds
257,Kamsack,CA,51.5667,-101.9009,-27.4,68,1,9.22,clear sky
258,Torbay,CA,47.6666,-52.7314,37.99,80,90,9.22,overcast clouds
259,Russkaya Polyana,UA,49.417,31.9201,19.36,95,58,6.38,broken clouds
260,Dedougou,BF,12.4667,-3.4667,102.4,8,3,3.29,clear sky
261,Lagoa,PT,39.05,-27.9833,59.58,90,100,20.45,overcast clouds
262,Berlevag,NO,70.8578,29.0864,26.55,93,100,23.35,light snow
263,Imbituba,BR,-28.24,-48.6703,78.8,47,0,16.11,clear sky
