City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Naze,JP,2021-02-03 02:25:14,28.3667,129.4833,60.8,51,75,12.66
110,Partapur,IN,2021-02-03 02:25:14,23.6,74.1667,62.37,29,18,3.18
111,Sao Filipe,CV,2021-02-03 02:25:14,14.8961,-24.4956,72.57,75,0,7.74
112,Tilichiki,RU,2021-02-03 02:25:15,60.4667,166.1,21.45,99,97,7.49
113,Konya,TR,2021-02-03 02:25:15,38.1667,32.5,35.6,93,100,4.61
114,Russellville,US,2021-02-03 02:25:15,35.2784,-93.1338,37.99,70,1,1.9
115,Vila Velha,BR,2021-02-03 02:25:15,-20.3297,-40.2925,78.8,78,40,5.75
116,Nishihara,JP,2021-02-03 02:25:15,26.1842,127.7558,64.4,36,40,11.5
117,Ribeira Grande,PT,2021-02-03 02:25:15,38.5167,-28.7,57.11,66,81,35.3
118,Alice Springs,AU,2021-02-03 02:23:55,-23.7,133.8833,89.6,14,0,10.36
119,Lavrentiya,RU,2021-02-03 02:25:16,65.5833,-171.0,4.57,85,100,24.74
120,Klaksvik,FO,2021-02-03 02:25:16,62.2266,-6.589,30.2,80,0,10.36
121,Avarua,CK,2021-02-03 02:25:16,-21.2078,-159.775,82.4,78,98,10.36
122,Tuatapere,NZ,2021-02-03 02:25:16,-46.1333,167.6833,58.68,76,91,9.66
123,Buy,RU,2021-02-03 02:23:13,58.4786,41.53,12.09,96,100,4.5
124,Cascais,PT,2021-02-03 02:25:16,38.6979,-9.4215,59.0,99,100,19.64
125,Bonoua,CI,2021-02-03 02:25:17,5.2741,-3.595,80.6,100,20,3.44
126,Goianesia,BR,2021-02-03 02:20:20,-15.3175,-49.1175,72.55,86,100,1.01
127,Khatanga,RU,2021-02-03 02:24:11,71.9667,102.5,-19.93,87,100,3.42
128,Aswan,EG,2021-02-03 02:24:25,24.0934,32.907,61.75,38,0,4.25
129,Elizabethtown,US,2021-02-03 02:25:17,37.694,-85.8591,30.99,80,90,6.91
130,Arona,ES,2021-02-03 02:25:17,28.0996,-16.681,60.8,82,40,6.91
131,Fethiye,TR,2021-02-03 02:25:18,36.6217,29.1164,51.8,82,75,8.05
132,Praya,CV,2021-02-03 02:25:18,14.9215,-23.5087,69.8,73,0,16.11
133,Bambous Virieux,MU,2021-02-03 02:25:18,-20.3428,57.7575,78.8,83,75,8.05
134,San Carlos De Bariloche,AR,2021-02-03 02:20:24,-41.1456,-71.3082,66.2,48,0,4.61
135,Ilulissat,GL,2021-02-03 02:24:11,69.2167,-51.1,-5.8,65,0,20.71
136,Carnarvon,AU,2021-02-03 02:25:18,-24.8667,113.6333,77.0,100,75,19.57
137,Yellowknife,CA,2021-02-03 02:23:25,62.456,-114.3525,-14.8,76,90,11.5
138,Camacupa,AO,2021-02-03 02:25:18,-12.0167,17.4833,61.79,97,100,3.06
139,Dikson,RU,2021-02-03 02:25:19,73.5069,80.5464,-24.43,85,3,13.27
140,Egvekinot,RU,2021-02-03 02:25:19,66.3167,-179.1667,-0.51,91,100,11.92
141,Kasongo-Lunda,CD,2021-02-03 02:24:23,-6.4667,16.8167,70.18,88,100,1.01
142,Nosy Varika,MG,2021-02-03 02:25:19,-20.5833,48.5333,76.37,80,1,3.76
143,Sokolo,ML,2021-02-03 02:25:19,14.7328,-6.1219,67.12,20,0,8.97
144,Bengkulu,ID,2021-02-03 02:25:19,-3.8004,102.2655,78.91,83,100,4.76
145,Busselton,AU,2021-02-03 02:25:20,-33.65,115.3333,79.0,53,1,4.0
146,San Cristobal,VE,2021-02-03 02:24:23,7.7669,-72.225,84.2,54,20,2.3
147,Benguela,AO,2021-02-03 02:25:20,-12.5763,13.4055,73.06,82,30,3.13
148,Walvis Bay,NA,2021-02-03 02:25:20,-22.9575,14.5053,64.99,82,63,3.44
149,Torbay,CA,2021-02-03 02:25:20,47.6666,-52.7314,28.99,80,90,14.97
150,Mehamn,NO,2021-02-03 02:25:20,71.0357,27.8492,24.12,90,100,16.87
151,Yagodnoye,RU,2021-02-03 02:25:20,62.55,149.6667,-26.28,81,100,3.65
152,Avera,US,2021-02-03 02:25:21,33.194,-82.5271,41.0,42,1,12.66
153,Tautira,PF,2021-02-03 02:25:21,-17.7333,-149.15,86.0,89,20,8.05
154,Kruisfontein,ZA,2021-02-03 02:25:21,-34.0033,24.7314,69.12,56,0,7.05
155,Faanui,PF,2021-02-03 02:25:07,-16.4833,-151.75,81.88,75,0,15.01
156,Saint-Francois,FR,2021-02-03 02:25:21,46.4154,3.9054,54.0,82,100,6.91
157,Susangerd,IR,2021-02-03 02:25:21,31.5608,48.1831,46.4,76,0,2.3
158,Ust-Nera,RU,2021-02-03 02:25:21,64.5667,143.2,-27.22,75,58,4.47
159,Nizhniy Kuranakh,RU,2021-02-03 02:25:22,58.8353,125.4869,-26.14,81,100,10.8
