City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
42,Formosa Do Rio Preto,BR,77.63,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
44,Sola,VU,75.2,few clouds,-13.8833,167.55,Leumerus Bungalows
45,Basco,PH,74.14,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
48,Daru,PG,80.06,overcast clouds,-9.0763,143.2092,Daru Lodge
51,Loreto,MX,62.62,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
52,Castro,BR,76.21,clear sky,-24.7911,-50.0119,CHACARA BAILLY
54,Tuatapere,NZ,51.49,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
55,Punta Arenas,CL,51.8,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
56,Hualmay,PE,74.75,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
57,Pontian Kecil,MY,78.01,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
58,Oga,IT,50.0,broken clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
61,Hobart,AU,57.2,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
63,Chumphon,TH,69.57,few clouds,10.3333,98.8333,สกาน จ๋า.
65,Hun,LY,77.18,clear sky,29.1268,15.9477,Alrwasi Hotel
67,Port Elizabeth,ZA,82.4,few clouds,-33.918,25.5701,39 On Nile Guest House
69,Butaritari,KI,80.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
70,Katsuura,JP,50.0,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
75,Port Alfred,ZA,77.0,few clouds,-33.5906,26.891,The Halyards Hotel
77,Sao Joao Da Barra,BR,80.6,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
79,Mount Isa,AU,75.2,heavy intensity rain,-20.7333,139.5,ibis Styles Mt Isa Verona
80,Cidreira,BR,75.22,broken clouds,-30.1811,-50.2056,Hotel Castelo
86,Lebu,CL,62.74,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
87,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
89,Cape Town,ZA,79.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
92,Hilo,US,61.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
93,Guiyang,CN,55.4,few clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
94,La Ciotat,FR,59.0,overcast clouds,43.1748,5.6045,ibis La Ciotat
95,Lotofaga,WS,80.6,light rain,-13.9764,-171.8578,Sataoa Beach Fales
96,Christiana,ZA,78.6,light rain,-27.914,25.1611,At-Neli Guesthouse
97,Atuona,PF,80.29,broken clouds,-9.8,-139.0333,Villa Enata
99,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
100,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
102,Kibaya,TZ,64.13,moderate rain,-5.3,36.5667,Lusaka Hotel
103,Tautira,PF,78.01,light rain,-17.7333,-149.15,Pension Oaoa
105,New Norfolk,AU,57.2,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
106,Phalombe,MW,74.44,light rain,-15.8064,35.6507,RIVONIA
107,Mar Del Plata,AR,68.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
109,Lompoc,US,50.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
111,Dunedin,NZ,57.99,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
112,Awbari,LY,78.03,broken clouds,26.5921,12.7805,فندق أوباري
114,Chuy,UY,79.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
116,Buin,CL,73.0,mist,-33.7333,-70.75,Paihuen
117,Victoria,HK,68.0,clear sky,22.2855,114.1577,Mini Hotel Central
118,Sorong,ID,81.03,overcast clouds,-0.8833,131.25,The Waigo Hotel
120,Oussouye,SN,80.6,clear sky,12.485,-16.5469,Auberge du Routard
122,Rakovski,BG,61.0,scattered clouds,42.3,24.9667,ХАНЧЕ 23 КИЛОМЕТЪР
123,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
126,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
127,Iralaya,HN,82.4,scattered clouds,15.0,-83.2333,Iglesia morava renovada
132,Ponta Do Sol,PT,62.6,scattered clouds,32.6667,-17.1,Hotel do Campo
133,Carnarvon,AU,80.6,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
134,Gigmoto,PH,78.57,broken clouds,13.7796,124.39,Cj's Travellers Inn
139,Port Hedland,AU,80.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
140,Nouadhibou,MR,71.6,sand,20.931,-17.0347,El Medina
144,Itarema,BR,88.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
145,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
147,Tacna,PE,78.8,clear sky,-18.0056,-70.2483,Hotel Colón Inn
149,Ambilobe,MG,76.26,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
